Imagen,Texto Detectado,Texto Esperado,Tiempo (s),Precisión (%),Resultado
"dataset/1755800893_0.9_(71, 106, 3)_Y3Q-595.jpg",E,Y3Q-595,0.0545,0.0,❌ Incorrecto
"dataset/1755800912_0.9_(41, 96, 3)_F51-233.jpg",,F51-233,0.0521,0.0,❌ Incorrecto
"dataset/1755800941_0.9_(50, 100, 3)_B1N-742.jpg",E1N-742,B1N-742,0.0521,0.0,❌ Incorrecto
"dataset/1755800975_0.91_(58, 106, 3)_V7R-826.jpg",,V7R-826,0.0512,0.0,❌ Incorrecto
"dataset/1755800978_0.91_(47, 96, 3)_Z4Q-197.jpg",,Z4Q-197,0.0500,0.0,❌ Incorrecto
"dataset/1755801015_0.9_(48, 98, 3)_Z5G-496.jpg",,Z5G-496,0.0504,0.0,❌ Incorrecto
"dataset/1755801088_0.9_(50, 109, 3)_Z5T-282.jpg",,Z5T-282,0.0502,0.0,❌ Incorrecto
"dataset/1755801091_0.91_(46, 101, 3)_Z5V-445.jpg",,Z5V-445,0.0505,0.0,❌ Incorrecto
"dataset/1755801123_0.9_(52, 100, 3)_W1A-763.jpg",,W1A-763,0.0570,0.0,❌ Incorrecto
"dataset/1755801131_0.9_(56, 113, 3)_A9K-715.jpg",A9K-715,A9K-715,0.0625,100.0,✅ Correcto
"dataset/1755801139_0.9_(47, 97, 3)_CBM-487.jpg",,CBM-487,0.0530,0.0,❌ Incorrecto
"dataset/1755801176_0.9_(50, 108, 3)_Z2G-146.jpg",776-146,Z2G-146,0.0590,0.0,❌ Incorrecto
"dataset/1755801183_0.9_(61, 112, 3)_Z2N-051.jpg",,Z2N-051,0.0547,0.0,❌ Incorrecto
"dataset/1755801190_0.9_(46, 98, 3)_V9K-468.jpg",Y9K-468,V9K-468,0.0536,0.0,❌ Incorrecto
"dataset/1755801207_0.91_(48, 101, 3)_Z3P-791.jpg",73P-701,Z3P-791,0.0571,0.0,❌ Incorrecto
"dataset/1755801210_0.9_(49, 104, 3)_X3A-006.jpg",,X3A-006,0.0538,0.0,❌ Incorrecto
"dataset/1755801223_0.91_(51, 101, 3)_Z8B-641.jpg",,Z8B-641,0.0564,0.0,❌ Incorrecto
"dataset/1755801236_0.9_(48, 97, 3)_X1J-790.jpg",,X1J-790,0.0537,0.0,❌ Incorrecto
"dataset/1755801286_0.9_(71, 116, 3)_F7F-087.jpg",,F7F-087,0.0530,0.0,❌ Incorrecto
"dataset/1755801294_0.91_(52, 106, 3)_A5G-752.jpg",456-757,A5G-752,0.0591,0.0,❌ Incorrecto
"dataset/1755801305_0.91_(48, 98, 3)_Z8U-888.jpg",,Z8U-888,0.0533,0.0,❌ Incorrecto
"dataset/1755801306_0.91_(47, 102, 3)_Z8L-888.jpg",,Z8L-888,0.0560,0.0,❌ Incorrecto
"dataset/1755801314_0.91_(50, 103, 3)_AUJ-187.jpg",,AUJ-187,0.0552,0.0,❌ Incorrecto
"dataset/1755801315_0.9_(57, 110, 3)_AUJ-182.jpg",,AUJ-182,0.0525,0.0,❌ Incorrecto
"dataset/1755801327_0.91_(49, 100, 3)_Z6X-411.jpg",,Z6X-411,0.0539,0.0,❌ Incorrecto
"dataset/1755801335_0.9_(62, 110, 3)_V71-023.jpg",,V71-023,0.0547,0.0,❌ Incorrecto
"dataset/1755801348_0.9_(50, 97, 3)_X1S-070.jpg",115-071,X1S-070,0.0608,0.0,❌ Incorrecto
"dataset/1755801389_0.91_(45, 93, 3)_VDS-785.jpg",105-789,VDS-785,0.0558,0.0,❌ Incorrecto
"dataset/1755801392_0.91_(54, 107, 3)_Z7M-355.jpg",,Z7M-355,0.0548,0.0,❌ Incorrecto
"dataset/1755801403_0.91_(54, 106, 3)_Z8B-617.jpg",,Z8B-617,0.0552,0.0,❌ Incorrecto
"dataset/1755801417_0.91_(51, 103, 3)_D7W-870.jpg",074-870,D7W-870,0.0578,0.0,❌ Incorrecto
"dataset/1755801418_0.9_(57, 108, 3)_07W-870.jpg",07N-870,07W-870,0.0585,0.0,❌ Incorrecto
"dataset/1755801426_0.9_(50, 102, 3)_W1A-763.jpg",,W1A-763,0.0516,0.0,❌ Incorrecto
"dataset/1755801434_0.91_(63, 120, 3)_A9K-715.jpg",19K-715,A9K-715,0.0544,0.0,❌ Incorrecto
"dataset/1755801483_0.91_(50, 100, 3)_X4H-470.jpg",,X4H-470,0.0531,0.0,❌ Incorrecto
"dataset/1755801491_0.91_(47, 94, 3)_VCS-856.jpg",,VCS-856,0.0568,0.0,❌ Incorrecto
"dataset/1755801494_0.91_(48, 101, 3)_BCF-122.jpg",,BCF-122,0.0545,0.0,❌ Incorrecto
"dataset/1755801529_0.9_(55, 104, 3)_Z5K-681.jpg",,Z5K-681,0.0555,0.0,❌ Incorrecto
"dataset/1755801534_0.91_(60, 117, 3)_Z2G-323.jpg",,Z2G-323,0.0529,0.0,❌ Incorrecto
"dataset/1755801565_0.91_(64, 115, 3)_Z5Q-118.jpg",,Z5Q-118,0.0537,0.0,❌ Incorrecto
"dataset/1755801570_0.9_(48, 97, 3)_X1J-790.jpg",13-790,X1J-790,0.0558,0.0,❌ Incorrecto
"dataset/1755801578_0.9_(46, 94, 3)_VAN-508.jpg",,VAN-508,0.0561,0.0,❌ Incorrecto
"dataset/1755801584_0.9_(48, 99, 3)_CHH-339.jpg",CHH-339,CHH-339,0.0579,100.0,✅ Correcto
"dataset/1755801586_0.9_(53, 100, 3)_Z6M-106.jpg",,Z6M-106,0.0531,0.0,❌ Incorrecto
"dataset/1755801598_0.92_(53, 108, 3)_A5G-752.jpg",456-757,A5G-752,0.0542,0.0,❌ Incorrecto
"dataset/1755801647_0.92_(59, 102, 3)_Z7U-204.jpg",77204,Z7U-204,0.0542,0.0,❌ Incorrecto
"dataset/1755801654_0.9_(49, 99, 3)_Z5G-467.jpg",,Z5G-467,0.0548,0.0,❌ Incorrecto
"dataset/1755801662_0.91_(73, 117, 3)_598-655.jpg",,598-655,0.0555,0.0,❌ Incorrecto
"dataset/1755801663_0.9_(44, 89, 3)_71C-465.jpg",,71C-465,0.0519,0.0,❌ Incorrecto
"dataset/1755801690_0.9_(41, 89, 3)_AXF-317.jpg",,AXF-317,0.0515,0.0,❌ Incorrecto
"dataset/1755801695_0.9_(46, 96, 3)_X1Q-323.jpg",110-323,X1Q-323,0.0523,0.0,❌ Incorrecto
"dataset/1755801744_0.9_(66, 118, 3)_Z20-326.jpg",,Z20-326,0.0519,0.0,❌ Incorrecto
"dataset/1755801790_0.91_(49, 103, 3)_Z6C-695.jpg",,Z6C-695,0.0527,0.0,❌ Incorrecto
"dataset/1755801795_0.91_(46, 94, 3)_Z3F-113.jpg",SNE,Z3F-113,0.0650,0.0,❌ Incorrecto
"dataset/1755801798_0.92_(53, 103, 3)_Z6K-059.jpg",,Z6K-059,0.0558,0.0,❌ Incorrecto
"dataset/1755801801_0.91_(46, 97, 3)_D70-364.jpg",070-304,D70-364,0.0571,0.0,❌ Incorrecto
"dataset/1755801812_0.91_(49, 101, 3)_Z7V-467.jpg",,Z7V-467,0.0526,0.0,❌ Incorrecto
"dataset/1755801843_0.91_(49, 100, 3)_Z7S-416.jpg",775-416,Z7S-416,0.0554,0.0,❌ Incorrecto
"dataset/1755801846_0.9_(49, 95, 3)_F4B-067.jpg",,F4B-067,0.0524,0.0,❌ Incorrecto
"dataset/1755801849_0.91_(53, 105, 3)_Z3V-367.jpg",,Z3V-367,0.0542,0.0,❌ Incorrecto
"dataset/1755801852_0.9_(52, 97, 3)_V71-420.jpg",,V71-420,0.0520,0.0,❌ Incorrecto
"dataset/1755801939_0.9_(48, 90, 3)_AYJ-561.jpg",,AYJ-561,0.0519,0.0,❌ Incorrecto
"dataset/1755802000_0.91_(48, 101, 3)_AMO-819.jpg",,AMO-819,0.0511,0.0,❌ Incorrecto
"dataset/1755802022_0.9_(53, 103, 3)_B1B-734.jpg",,B1B-734,0.0514,0.0,❌ Incorrecto
"dataset/1755802033_0.91_(56, 107, 3)_CKS-489.jpg",,CKS-489,0.0531,0.0,❌ Incorrecto
"dataset/1755802038_0.9_(54, 103, 3)_C3S-449.jpg",35-440,C3S-449,0.0562,0.0,❌ Incorrecto
"dataset/1755802073_0.91_(54, 106, 3)_Z7C-049.jpg",,Z7C-049,0.0540,0.0,❌ Incorrecto
"dataset/1755802099_0.91_(54, 108, 3)_Z6B-834.jpg",,Z6B-834,0.0522,0.0,❌ Incorrecto
"dataset/1755802124_0.9_(60, 112, 3)_X3T-626.jpg",131-620,X3T-626,0.0582,0.0,❌ Incorrecto
"dataset/1755802133_0.91_(49, 97, 3)_VCF-677.jpg",,VCF-677,0.0546,0.0,❌ Incorrecto
"dataset/1755802142_0.9_(50, 100, 3)_D1I-153.jpg",11-153,D1I-153,0.0604,0.0,❌ Incorrecto
"dataset/1755802147_0.91_(46, 90, 3)_VBI-497.jpg",,VBI-497,0.0560,0.0,❌ Incorrecto
"dataset/1755802161_0.91_(50, 99, 3)_V9N-697.jpg",,V9N-697,0.0523,0.0,❌ Incorrecto
"dataset/1755802166_0.9_(45, 102, 3)_V2N-829.jpg",120-827,V2N-829,0.0525,0.0,❌ Incorrecto
"dataset/1755802269_0.91_(45, 93, 3)_ARE-297.jpg",,ARE-297,0.0507,0.0,❌ Incorrecto
"dataset/1755802328_0.9_(49, 98, 3)_Z7N-143.jpg",,Z7N-143,0.0530,0.0,❌ Incorrecto
"dataset/1755802353_0.9_(62, 107, 3)_AAO-576.jpg",,AAO-576,0.0591,0.0,❌ Incorrecto
"dataset/1755802410_0.91_(48, 95, 3)_BTB-292.jpg",,BTB-292,0.0561,0.0,❌ Incorrecto
"dataset/1755802415_0.91_(44, 95, 3)_Z7Y-245.jpg",771-245,Z7Y-245,0.0574,0.0,❌ Incorrecto
"dataset/1755802418_0.9_(50, 104, 3)_BPW-164.jpg",BPN-164,BPW-164,0.0569,0.0,❌ Incorrecto
"dataset/1755802421_0.91_(47, 92, 3)_BXI-161.jpg",,BXI-161,0.0535,0.0,❌ Incorrecto
"dataset/1755802433_0.9_(50, 98, 3)_V6Y-151.jpg",,V6Y-151,0.0556,0.0,❌ Incorrecto
"dataset/1755802437_0.92_(48, 98, 3)_Z6Y-080.jpg",761-080,Z6Y-080,0.0586,0.0,❌ Incorrecto
"dataset/1755802496_0.91_(42, 90, 3)_Z5D-490.jpg",,Z5D-490,0.0565,0.0,❌ Incorrecto
"dataset/1755802534_0.9_(41, 91, 3)_V4E-442.jpg",V4E-462,V4E-442,0.0540,0.0,❌ Incorrecto
"dataset/1755802585_0.91_(42, 94, 3)_VBX-425.jpg",VBX-429,VBX-425,0.0527,0.0,❌ Incorrecto
"dataset/1755802589_0.9_(48, 98, 3)_Z4Q-264.jpg",,Z4Q-264,0.0526,0.0,❌ Incorrecto
"dataset/1755802592_0.91_(48, 98, 3)_BKQ-659.jpg",,BKQ-659,0.0518,0.0,❌ Incorrecto
"dataset/1755802597_0.9_(48, 98, 3)_S1B-589.jpg",,S1B-589,0.0537,0.0,❌ Incorrecto
"dataset/1755802608_0.91_(49, 97, 3)_BKM-032.jpg",,BKM-032,0.0571,0.0,❌ Incorrecto
"dataset/1755802629_0.9_(50, 106, 3)_AFL-039.jpg",,AFL-039,0.0559,0.0,❌ Incorrecto
"dataset/1755802632_0.9_(47, 101, 3)_Z7F-326.jpg",,Z7F-326,0.0521,0.0,❌ Incorrecto
"dataset/1755802646_0.9_(65, 114, 3)_CJS-468.jpg",,CJS-468,0.0527,0.0,❌ Incorrecto
"dataset/1755802650_0.9_(58, 114, 3)_A2E-705.jpg",0570,A2E-705,0.0575,0.0,❌ Incorrecto
"dataset/1755802708_0.9_(52, 102, 3)_BHG-267.jpg",BH6-267,BHG-267,0.0536,0.0,❌ Incorrecto
"dataset/1755802716_0.91_(47, 95, 3)_V4L-658.jpg",V6L-658,V4L-658,0.0576,0.0,❌ Incorrecto
"dataset/1755802759_0.91_(54, 107, 3)_Z8V-787.jpg",781-787,Z8V-787,0.0606,0.0,❌ Incorrecto
"dataset/1755802859_0.9_(50, 97, 3)_Z3P-000.jpg",,Z3P-000,0.0542,0.0,❌ Incorrecto
"dataset/1755802962_0.91_(63, 114, 3)_Z6D-367.jpg",760-361,Z6D-367,0.0557,0.0,❌ Incorrecto
"dataset/1755803016_0.9_(43, 91, 3)_V6J-526.jpg",167-570,V6J-526,0.0537,0.0,❌ Incorrecto
"dataset/1755803044_0.9_(63, 111, 3)_Z6U-717.jpg",,Z6U-717,0.0518,0.0,❌ Incorrecto
"dataset/1755803089_0.9_(49, 97, 3)_Z7N-143.jpg",27-143,Z7N-143,0.0573,0.0,❌ Incorrecto
"dataset/1755803106_0.9_(58, 113, 3)_Z7W-178.jpg",,Z7W-178,0.0541,0.0,❌ Incorrecto
"dataset/1755803124_0.9_(46, 92, 3)_Z1E-728.jpg",,Z1E-728,0.0538,0.0,❌ Incorrecto
"dataset/1755803163_0.9_(54, 107, 3)_V1H-723.jpg",,V1H-723,0.0518,0.0,❌ Incorrecto
"dataset/1755803168_0.91_(53, 106, 3)_Z4Y-573.jpg",,Z4Y-573,0.0514,0.0,❌ Incorrecto
"dataset/1755803170_0.9_(45, 89, 3)_X3T-194.jpg",,X3T-194,0.0519,0.0,❌ Incorrecto
"dataset/1755803288_0.91_(47, 96, 3)_ASJ-523.jpg",,ASJ-523,0.0544,0.0,❌ Incorrecto
"dataset/1755803327_0.9_(50, 100, 3)_X3E-141.jpg",N36-141,X3E-141,0.0556,0.0,❌ Incorrecto
"dataset/1755803417_0.9_(46, 96, 3)_Z1E-728.jpg",716-720,Z1E-728,0.0543,0.0,❌ Incorrecto
"dataset/1755803618_0.9_(61, 105, 3)_CEX-325.jpg",,CEX-325,0.0520,0.0,❌ Incorrecto
"dataset/1755803678_0.9_(46, 103, 3)_V1W-327.jpg",,V1W-327,0.0506,0.0,❌ Incorrecto
"dataset/1755803683_0.9_(59, 118, 3)_Z5D-845.jpg",75L349,Z5D-845,0.0537,0.0,❌ Incorrecto
"dataset/1755803692_0.9_(60, 105, 3)_BBT-930.jpg",801-930,BBT-930,0.0582,0.0,❌ Incorrecto
"dataset/1755803697_0.9_(67, 126, 3)_Z2E-770.jpg",,Z2E-770,0.0685,0.0,❌ Incorrecto
"dataset/1755803736_0.9_(50, 103, 3)_BTQ-272.jpg",,BTQ-272,0.0555,0.0,❌ Incorrecto
"dataset/1755803790_0.9_(66, 113, 3)_Z3J-707.jpg",73-10,Z3J-707,0.0543,0.0,❌ Incorrecto
"dataset/1755803875_0.91_(47, 102, 3)_ANJ-150.jpg",,ANJ-150,0.0537,0.0,❌ Incorrecto
"dataset/1755803886_0.9_(45, 94, 3)_Z7X-826.jpg",,Z7X-826,0.0516,0.0,❌ Incorrecto
"dataset/1755803979_0.9_(45, 90, 3)_BVH-663.jpg",,BVH-663,0.0548,0.0,❌ Incorrecto
"dataset/1755803979_0.9_(48, 97, 3)_8VH-663.jpg",,8VH-663,0.0571,0.0,❌ Incorrecto
"dataset/1755803985_0.9_(127, 139, 3)_L2E-770.jpg",YU,L2E-770,0.0527,0.0,❌ Incorrecto
"dataset/1755804033_0.91_(51, 96, 3)_V4E-661.jpg",UAE-064,V4E-661,0.0550,0.0,❌ Incorrecto
"dataset/1755804052_0.9_(54, 101, 3)_AUU-101.jpg",AUL10S,AUU-101,0.0539,0.0,❌ Incorrecto
"dataset/1755804067_0.91_(63, 110, 3)_Z7G-042.jpg",,Z7G-042,0.0525,0.0,❌ Incorrecto
"dataset/1755804076_0.9_(51, 103, 3)_BJG-541.jpg",,BJG-541,0.0544,0.0,❌ Incorrecto
"dataset/1755804125_0.91_(48, 101, 3)_Z3J-707.jpg",,Z3J-707,0.0529,0.0,❌ Incorrecto
"dataset/1755804178_0.91_(38, 89, 3)_AYH-261.jpg",AVH-261,AYH-261,0.0550,0.0,❌ Incorrecto
"dataset/1755804192_0.9_(65, 116, 3)_V7C-801.jpg",,V7C-801,0.0545,0.0,❌ Incorrecto
"dataset/1755804243_0.9_(49, 94, 3)_Z7Y-445.jpg",,Z7Y-445,0.0529,0.0,❌ Incorrecto
"dataset/1755804326_0.9_(47, 98, 3)_CO1-165.jpg",,CO1-165,0.0517,0.0,❌ Incorrecto
"dataset/1755804330_0.91_(51, 102, 3)_Z8S-813.jpg",785-843,Z8S-813,0.0537,0.0,❌ Incorrecto
"dataset/1755804345_0.91_(46, 94, 3)_BLH-257.jpg",,BLH-257,0.0509,0.0,❌ Incorrecto
"dataset/1755804371_0.9_(54, 113, 3)_V6E-258.jpg",,V6E-258,0.0544,0.0,❌ Incorrecto
"dataset/1755804443_0.91_(49, 96, 3)_Z51-510.jpg",,Z51-510,0.0524,0.0,❌ Incorrecto
"dataset/1755804512_0.91_(39, 91, 3)_Z7T-469.jpg",771-469,Z7T-469,0.0552,0.0,❌ Incorrecto
"dataset/1755804516_0.92_(61, 118, 3)_Z1A-640.jpg",,Z1A-640,0.0508,0.0,❌ Incorrecto
"dataset/1755805016_0.9_(49, 97, 3)_BWS-056.jpg",,BWS-056,0.0513,0.0,❌ Incorrecto
"dataset/1755805048_0.9_(50, 96, 3)_VCL-405.jpg",,VCL-405,0.0535,0.0,❌ Incorrecto
"dataset/1755805055_0.9_(53, 104, 3)_Z7W-234.jpg",,Z7W-234,0.0541,0.0,❌ Incorrecto
"dataset/1755805151_0.91_(50, 101, 3)_Z7W-377.jpg",,Z7W-377,0.0510,0.0,❌ Incorrecto
"dataset/1755805212_0.91_(52, 105, 3)_Z7F-518.jpg",276-518,Z7F-518,0.0531,0.0,❌ Incorrecto
"dataset/1755805218_0.9_(41, 88, 3)_Z7H-064.jpg",77H-06,Z7H-064,0.0596,0.0,❌ Incorrecto
"dataset/1755805271_0.9_(64, 111, 3)_Z1V-042.jpg",714-042,Z1V-042,0.0564,0.0,❌ Incorrecto
"dataset/1755805284_0.91_(52, 101, 3)_VAB-735.jpg",148-735,VAB-735,0.0551,0.0,❌ Incorrecto
"dataset/1755805378_0.9_(47, 101, 3)_Z6E-393.jpg",,Z6E-393,0.0509,0.0,❌ Incorrecto
"dataset/1755805538_0.9_(47, 98, 3)_Z7G-017.jpg",,Z7G-017,0.0517,0.0,❌ Incorrecto
"dataset/1755805684_0.9_(48, 99, 3)_VCS-186.jpg",,VCS-186,0.0528,0.0,❌ Incorrecto
"dataset/1755805788_0.91_(48, 98, 3)_CRG-314.jpg",,CRG-314,0.0504,0.0,❌ Incorrecto
"dataset/1755805904_0.92_(118, 124, 3)_V2X-710.jpg",,V2X-710,0.0516,0.0,❌ Incorrecto
"dataset/1755806062_0.9_(47, 95, 3)_BKQ-659.jpg",,BKQ-659,0.0501,0.0,❌ Incorrecto
"dataset/1755806111_0.9_(49, 97, 3)_Z7F-621.jpg",,Z7F-621,0.0522,0.0,❌ Incorrecto
"dataset/1755806151_0.91_(47, 98, 3)_Z5J-577.jpg",,Z5J-577,0.0516,0.0,❌ Incorrecto
"dataset/1755806181_0.9_(41, 100, 3)_VAQ-104.jpg",A0-104,VAQ-104,0.0521,0.0,❌ Incorrecto
"dataset/1755806233_0.9_(49, 96, 3)_BWQ-500.jpg",5NG-500,BWQ-500,0.0558,0.0,❌ Incorrecto
"dataset/1755806243_0.91_(58, 110, 3)_Z7U-178.jpg",,Z7U-178,0.0571,0.0,❌ Incorrecto
"dataset/1755806300_0.9_(50, 101, 3)_AOT-720.jpg",01-720,AOT-720,0.0546,0.0,❌ Incorrecto
"dataset/1755806301_0.9_(53, 110, 3)_A0T-720.jpg",101-720,A0T-720,0.0542,0.0,❌ Incorrecto
"dataset/1755806307_0.9_(45, 91, 3)_T4M-134.jpg",74-134,T4M-134,0.0569,0.0,❌ Incorrecto
"dataset/1755806406_0.9_(47, 101, 3)_A4S-720.jpg",,A4S-720,0.0544,0.0,❌ Incorrecto
"dataset/1755806558_0.9_(60, 116, 3)_ABU-720.jpg",,ABU-720,0.0520,0.0,❌ Incorrecto
"dataset/1755806583_0.9_(58, 110, 3)_Z7H-075.jpg",,Z7H-075,0.0501,0.0,❌ Incorrecto
"dataset/1755806706_0.9_(45, 96, 3)_V71-023.jpg",,V71-023,0.0547,0.0,❌ Incorrecto
"dataset/1755806714_0.91_(46, 100, 3)_A4S-720.jpg",145-7201,A4S-720,0.0535,0.0,❌ Incorrecto
"dataset/1755806796_0.91_(44, 92, 3)_Z70-399.jpg",270-309,Z70-399,0.0525,0.0,❌ Incorrecto
"dataset/1755806835_0.9_(50, 100, 3)_D7W-870.jpg",,D7W-870,0.0507,0.0,❌ Incorrecto
"dataset/1755806839_0.91_(53, 104, 3)_Z2P-320.jpg",,Z2P-320,0.0545,0.0,❌ Incorrecto
"dataset/1755806845_0.91_(44, 98, 3)_A3C-786.jpg",135790,A3C-786,0.0557,0.0,❌ Incorrecto
"dataset/1755806849_0.92_(49, 98, 3)_Z7P-354.jpg",,Z7P-354,0.0502,0.0,❌ Incorrecto
"dataset/1755806852_0.91_(66, 114, 3)_VBA-422.jpg",,VBA-422,0.0507,0.0,❌ Incorrecto
"dataset/1755806868_0.9_(46, 91, 3)_ACL-585.jpg",ACL-585,ACL-585,0.0535,100.0,✅ Correcto
"dataset/1755806984_0.9_(45, 92, 3)_Z5Z-532.jpg",,Z5Z-532,0.0553,0.0,❌ Incorrecto
"dataset/1755807008_0.91_(44, 97, 3)_BEP-534.jpg",,BEP-534,0.0542,0.0,❌ Incorrecto
"dataset/1755807086_0.91_(45, 90, 3)_Z4Y-618.jpg",,Z4Y-618,0.0521,0.0,❌ Incorrecto
"dataset/1755807186_0.9_(47, 95, 3)_Z7M-595.jpg",774-595,Z7M-595,0.0561,0.0,❌ Incorrecto
"dataset/1755807199_0.9_(46, 102, 3)_A5U-739.jpg",,A5U-739,0.0521,0.0,❌ Incorrecto
"dataset/1755807204_0.9_(43, 89, 3)_M4B-467.jpg",,M4B-467,0.0499,0.0,❌ Incorrecto
"dataset/1755807211_0.9_(44, 96, 3)_BEP-534.jpg",,BEP-534,0.0505,0.0,❌ Incorrecto
"dataset/1755807470_0.91_(141, 148, 3)_A5U-739.jpg",5,A5U-739,0.0567,0.0,❌ Incorrecto
"dataset/1755807617_0.9_(56, 111, 3)_45K-770.jpg",454-770,45K-770,0.0553,0.0,❌ Incorrecto
"dataset/1755807852_0.91_(53, 108, 3)_Z6W-329.jpg",,Z6W-329,0.0517,0.0,❌ Incorrecto
"dataset/1755807884_0.9_(52, 101, 3)_Z2Q-021.jpg",70-021,Z2Q-021,0.0534,0.0,❌ Incorrecto
"dataset/1755807907_0.9_(52, 99, 3)_C6M-147.jpg",,C6M-147,0.0515,0.0,❌ Incorrecto
"dataset/1755808117_0.9_(49, 100, 3)_Z1I-540.jpg",,Z1I-540,0.0537,0.0,❌ Incorrecto
"dataset/1755808131_0.92_(45, 93, 3)_ANG-059.jpg",,ANG-059,0.0510,0.0,❌ Incorrecto
"dataset/1755808144_0.9_(46, 94, 3)_Z2Q-021.jpg",770-021,Z2Q-021,0.0525,0.0,❌ Incorrecto
"dataset/1755808175_0.91_(44, 89, 3)_F8Q-278.jpg",,F8Q-278,0.0524,0.0,❌ Incorrecto
"dataset/1755808300_0.9_(46, 91, 3)_AK1-784.jpg",,AK1-784,0.0583,0.0,❌ Incorrecto
"dataset/1755808414_0.9_(59, 111, 3)_F8Q-278.jpg",,F8Q-278,0.0546,0.0,❌ Incorrecto
"dataset/1755808461_0.91_(62, 116, 3)_CBA-659.jpg",84-659,CBA-659,0.0560,0.0,❌ Incorrecto
"dataset/1755808464_0.9_(50, 104, 3)_BUY-632.jpg",,BUY-632,0.0536,0.0,❌ Incorrecto
"dataset/1755808477_0.91_(46, 95, 3)_BHB-015.jpg",,BHB-015,0.0521,0.0,❌ Incorrecto
"dataset/1755808763_0.9_(54, 105, 3)_V5B-631.jpg",158-631,V5B-631,0.0580,0.0,❌ Incorrecto
"dataset/1755808937_0.91_(46, 96, 3)_V8Y-171.jpg",,V8Y-171,0.0526,0.0,❌ Incorrecto
"dataset/1755808962_0.9_(46, 91, 3)_Z1T-535.jpg",,Z1T-535,0.0549,0.0,❌ Incorrecto
